[2025-09-02 02:54:45] [WeComAPI] 获取部门列表成功 {"department_id":null,"count":73}
[2025-09-02 02:55:56] [WeComAPI] 获取部门列表成功 {"department_id":null,"count":73}
[2025-09-02 02:55:56] [WeComAPI ERROR] API 请求失败，准备重试: {"error":"API 请求失败: department not found, hint: [1756781756035892011062134], from ip: 183.6.102.143, more info at https:\/\/open.work.weixin.qq.com\/devtool\/query?e=60003 (错误码: 60003)","retry_count":1,"endpoint":"user\/list"}
[2025-09-02 02:55:57] [WeComAPI ERROR] API 请求失败，准备重试: {"error":"API 请求失败: department not found, hint: [1756781757101960057098021], from ip: 183.6.102.143, more info at https:\/\/open.work.weixin.qq.com\/devtool\/query?e=60003 (错误码: 60003)","retry_count":2,"endpoint":"user\/list"}
[2025-09-02 02:56:00] [WeComAPI ERROR] API 请求失败，准备重试: {"error":"API 请求失败: department not found, hint: [1756781760035891444819212], from ip: 183.6.102.143, more info at https:\/\/open.work.weixin.qq.com\/devtool\/query?e=60003 (错误码: 60003)","retry_count":3,"endpoint":"user\/list"}
[2025-09-02 02:57:32] [WeComAPI] 获取部门列表成功 {"department_id":null,"count":73}
[2025-09-02 02:57:32] [WeComAPI ERROR] API 请求失败，准备重试: {"error":"API 请求失败: department not found, hint: [1756781852429393816550493], from ip: 183.6.102.143, more info at https:\/\/open.work.weixin.qq.com\/devtool\/query?e=60003 (错误码: 60003)","retry_count":1,"endpoint":"user\/list"}
[2025-09-02 02:57:33] [WeComAPI ERROR] API 请求失败，准备重试: {"error":"API 请求失败: department not found, hint: [1756781853317913218275682], from ip: 183.6.102.143, more info at https:\/\/open.work.weixin.qq.com\/devtool\/query?e=60003 (错误码: 60003)","retry_count":2,"endpoint":"user\/list"}
[2025-09-02 02:57:35] [WeComAPI ERROR] API 请求失败，准备重试: {"error":"API 请求失败: department not found, hint: [1756781855059504253362800], from ip: 183.6.102.143, more info at https:\/\/open.work.weixin.qq.com\/devtool\/query?e=60003 (错误码: 60003)","retry_count":3,"endpoint":"user\/list"}
[2025-09-02 02:57:39] [WeComAPI ERROR] API 请求失败，准备重试: {"error":"API 请求失败: department not found, hint: [1756781859214403846688183], from ip: 183.6.102.143, more info at https:\/\/open.work.weixin.qq.com\/devtool\/query?e=60003 (错误码: 60003)","retry_count":1,"endpoint":"user\/list"}
[2025-09-02 02:57:41] [WeComAPI ERROR] API 请求失败，准备重试: {"error":"API 请求失败: department not found, hint: [1756781861123492885191544], from ip: 183.6.102.143, more info at https:\/\/open.work.weixin.qq.com\/devtool\/query?e=60003 (错误码: 60003)","retry_count":2,"endpoint":"user\/list"}
[2025-09-02 02:57:43] [WeComAPI ERROR] API 请求失败，准备重试: {"error":"API 请求失败: department not found, hint: [1756781863107080480888337], from ip: 183.6.102.143, more info at https:\/\/open.work.weixin.qq.com\/devtool\/query?e=60003 (错误码: 60003)","retry_count":3,"endpoint":"user\/list"}
[2025-09-02 02:57:47] [WeComAPI ERROR] API 请求失败，准备重试: {"error":"API 请求失败: department not found, hint: [1756781867429393017730824], from ip: 183.6.102.143, more info at https:\/\/open.work.weixin.qq.com\/devtool\/query?e=60003 (错误码: 60003)","retry_count":1,"endpoint":"user\/list"}
[2025-09-02 02:57:48] [WeComAPI ERROR] API 请求失败，准备重试: {"error":"API 请求失败: department not found, hint: [1756781868591811710309695], from ip: 183.6.102.143, more info at https:\/\/open.work.weixin.qq.com\/devtool\/query?e=60003 (错误码: 60003)","retry_count":2,"endpoint":"user\/list"}
[2025-09-02 02:57:50] [WeComAPI ERROR] API 请求失败，准备重试: {"error":"API 请求失败: department not found, hint: [1756781870312793306620158], from ip: 183.6.102.143, more info at https:\/\/open.work.weixin.qq.com\/devtool\/query?e=60003 (错误码: 60003)","retry_count":3,"endpoint":"user\/list"}
[2025-09-02 02:57:55] [WeComAPI ERROR] API 请求失败，准备重试: {"error":"API 请求失败: department not found, hint: [1756781875338731411223339], from ip: 183.6.102.143, more info at https:\/\/open.work.weixin.qq.com\/devtool\/query?e=60003 (错误码: 60003)","retry_count":1,"endpoint":"user\/list"}
[2025-09-02 02:57:56] [WeComAPI ERROR] API 请求失败，准备重试: {"error":"API 请求失败: department not found, hint: [1756781876031421927559472], from ip: 183.6.102.143, more info at https:\/\/open.work.weixin.qq.com\/devtool\/query?e=60003 (错误码: 60003)","retry_count":2,"endpoint":"user\/list"}
[2025-09-02 02:57:58] [WeComAPI ERROR] API 请求失败，准备重试: {"error":"API 请求失败: department not found, hint: [1756781878426833789443778], from ip: 183.6.102.143, more info at https:\/\/open.work.weixin.qq.com\/devtool\/query?e=60003 (错误码: 60003)","retry_count":3,"endpoint":"user\/list"}
[2025-09-02 03:01:58] [WeComAPI] 访问令牌刷新成功 {"expires_in":7200,"expires_at":"2025-09-02 05:01:58"}
[2025-09-02 03:01:58] [WeComAPI] 获取部门列表成功 {"department_id":null,"count":73}
[2025-09-02 03:01:59] [WeComAPI] 获取部门成员详情成功 {"department_id":3,"fetch_child":false,"count":1}
[2025-09-02 03:01:59] [WeComAPI] 获取部门成员详情成功 {"department_id":16,"fetch_child":false,"count":3}
[2025-09-02 03:02:00] [WeComAPI] 获取部门成员详情成功 {"department_id":31,"fetch_child":false,"count":1}
[2025-09-02 03:02:00] [WeComAPI] 获取部门成员详情成功 {"department_id":1,"fetch_child":false,"count":0}
[2025-09-02 03:17:59] [WeComAPI] 开始获取全量组织架构 {"root_department_id":1}
[2025-09-02 03:17:59] [WeComAPI] 获取部门列表成功 {"department_id":1,"count":73}
[2025-09-02 03:18:00] [WeComAPI] 获取部门成员详情成功 {"department_id":1,"fetch_child":false,"count":0}
[2025-09-02 03:18:00] [WeComAPI] 获取部门成员详情成功 {"department_id":3,"fetch_child":false,"count":1}
[2025-09-02 03:18:01] [WeComAPI] 获取部门成员详情成功 {"department_id":8,"fetch_child":false,"count":3}
[2025-09-02 03:18:01] [WeComAPI] 获取部门成员详情成功 {"department_id":16,"fetch_child":false,"count":3}
[2025-09-02 03:18:02] [WeComAPI] 获取部门成员详情成功 {"department_id":25,"fetch_child":false,"count":2}
[2025-09-02 03:18:03] [WeComAPI] 获取部门成员详情成功 {"department_id":31,"fetch_child":false,"count":1}
[2025-09-02 03:18:03] [WeComAPI] 获取部门成员详情成功 {"department_id":32,"fetch_child":false,"count":3}
[2025-09-02 03:18:04] [WeComAPI] 获取部门成员详情成功 {"department_id":33,"fetch_child":false,"count":5}
[2025-09-02 03:18:05] [WeComAPI] 获取部门成员详情成功 {"department_id":37,"fetch_child":false,"count":1}
[2025-09-02 03:18:05] [WeComAPI] 获取部门成员详情成功 {"department_id":76,"fetch_child":false,"count":2}
[2025-09-02 03:18:06] [WeComAPI] 获取部门成员详情成功 {"department_id":82,"fetch_child":false,"count":1}
[2025-09-02 03:18:06] [WeComAPI] 获取部门成员详情成功 {"department_id":83,"fetch_child":false,"count":5}
[2025-09-02 03:18:07] [WeComAPI] 获取部门成员详情成功 {"department_id":102,"fetch_child":false,"count":0}
[2025-09-02 03:18:07] [WeComAPI] 获取部门成员详情成功 {"department_id":107,"fetch_child":false,"count":2}
[2025-09-02 03:18:08] [WeComAPI] 获取部门成员详情成功 {"department_id":108,"fetch_child":false,"count":2}
[2025-09-02 03:18:08] [WeComAPI] 获取部门成员详情成功 {"department_id":109,"fetch_child":false,"count":1}
[2025-09-02 03:18:09] [WeComAPI] 获取部门成员详情成功 {"department_id":111,"fetch_child":false,"count":1}
[2025-09-02 03:18:09] [WeComAPI] 获取部门成员详情成功 {"department_id":120,"fetch_child":false,"count":1}
[2025-09-02 03:18:10] [WeComAPI] 获取部门成员详情成功 {"department_id":123,"fetch_child":false,"count":9}
[2025-09-02 03:18:11] [WeComAPI] 获取部门成员详情成功 {"department_id":124,"fetch_child":false,"count":8}
[2025-09-02 03:18:11] [WeComAPI] 获取部门成员详情成功 {"department_id":128,"fetch_child":false,"count":2}
[2025-09-02 03:18:12] [WeComAPI] 获取部门成员详情成功 {"department_id":130,"fetch_child":false,"count":2}
[2025-09-02 03:18:12] [WeComAPI] 获取部门成员详情成功 {"department_id":131,"fetch_child":false,"count":0}
[2025-09-02 03:18:13] [WeComAPI] 获取部门成员详情成功 {"department_id":135,"fetch_child":false,"count":0}
[2025-09-02 03:18:13] [WeComAPI] 获取部门成员详情成功 {"department_id":140,"fetch_child":false,"count":2}
[2025-09-02 03:18:14] [WeComAPI] 获取部门成员详情成功 {"department_id":141,"fetch_child":false,"count":1}
[2025-09-02 03:18:14] [WeComAPI] 获取部门成员详情成功 {"department_id":142,"fetch_child":false,"count":1}
[2025-09-02 03:18:15] [WeComAPI] 获取部门成员详情成功 {"department_id":144,"fetch_child":false,"count":2}
[2025-09-02 03:18:15] [WeComAPI] 获取部门成员详情成功 {"department_id":146,"fetch_child":false,"count":3}
[2025-09-02 03:18:16] [WeComAPI] 获取部门成员详情成功 {"department_id":147,"fetch_child":false,"count":2}
[2025-09-02 03:18:16] [WeComAPI] 获取部门成员详情成功 {"department_id":149,"fetch_child":false,"count":4}
[2025-09-02 03:18:17] [WeComAPI] 获取部门成员详情成功 {"department_id":150,"fetch_child":false,"count":2}
[2025-09-02 03:18:18] [WeComAPI] 获取部门成员详情成功 {"department_id":151,"fetch_child":false,"count":3}
[2025-09-02 03:18:18] [WeComAPI] 获取部门成员详情成功 {"department_id":153,"fetch_child":false,"count":6}
[2025-09-02 03:18:18] [WeComAPI] 获取部门成员详情成功 {"department_id":158,"fetch_child":false,"count":0}
[2025-09-02 03:18:19] [WeComAPI] 获取部门成员详情成功 {"department_id":159,"fetch_child":false,"count":0}
[2025-09-02 03:18:19] [WeComAPI] 获取部门成员详情成功 {"department_id":160,"fetch_child":false,"count":4}
